start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;route_dist;dist_km;len;fleet_id
12.0;(1, 8, 9, 10, 21, 25, 26);4.0;250.0;100.0;0.2;0.8000000000000003;{1: 4.0};{26: 4.0};{1: {12.0: 2.0, 16.0: 2.0}};770.0;770.0;7;46
12.0;(9, 10, 19, 13, 12);6120.0;250.0;100.0;0.2;1.0;{9: 6120.0};{12: 2014.0, 13: 4106.0};{9: {12.0: 5.0, 16.0: 14.0, 20.0: 87.0, 24.0: 325.0, 28.0: 561.0, 32.0: 569.0, 36.0: 490.0, 40.0: 464.0, 44.0: 427.0, 48.0: 344.0, 52.0: 296.0, 56.0: 283.0, 60.0: 366.0, 64.0: 396.0, 68.0: 428.0, 72.0: 397.0, 76.0: 317.0, 80.0: 199.0, 84.0: 103.0, 88.0: 34.0, 92.0: 15.0}};728585.0;728585.0;5;47
12.0;(48, 61, 63, 64, 70, 71, 73, 78, 82, 83);6.0;250.0;100.0;0.2;0.6;{48: 6.0};{83: 6.0};{48: {12.0: 1.0, 32.0: 1.0, 40.0: 1.0, 56.0: 1.0, 68.0: 1.0, 76.0: 1.0}};1650.0;1650.0;10;48
12.0;(87, 74, 70, 71, 73, 77);2307.0;250.0;100.0;0.2;0.9000000000000001;{87: 2307.0};{77: 2307.0};{87: {12.0: 1.0, 16.0: 9.0, 20.0: 24.0, 24.0: 124.0, 28.0: 232.0, 32.0: 225.0, 36.0: 187.0, 40.0: 162.0, 44.0: 156.0, 48.0: 106.0, 52.0: 107.0, 56.0: 140.0, 60.0: 135.0, 64.0: 171.0, 68.0: 148.0, 72.0: 131.0, 76.0: 110.0, 80.0: 73.0, 84.0: 43.0, 88.0: 14.0, 92.0: 9.0}};380655.0;380655.0;6;49
12.0;(51, 52, 53, 54, 56);2407.0;250.0;100.0;0.2;1.0;{51: 2407.0};{56: 2407.0};{51: {12.0: 1.0, 16.0: 10.0, 20.0: 36.0, 24.0: 134.0, 28.0: 202.0, 32.0: 235.0, 36.0: 184.0, 40.0: 195.0, 44.0: 149.0, 48.0: 140.0, 52.0: 106.0, 56.0: 118.0, 60.0: 135.0, 64.0: 169.0, 68.0: 161.0, 72.0: 146.0, 76.0: 135.0, 80.0: 74.0, 84.0: 48.0, 88.0: 18.0, 92.0: 11.0}};330962.5;330962.5;5;50
12.0;(14, 15, 7, 6);1.0;250.0;100.0;0.2;0.4000000000000001;{14: 1.0};{6: 1.0};{14: {12.0: 1.0}};110.0;110.0;4;51
12.0;(87, 81, 66, 65, 61, 42, 41, 39, 24, 23, 22, 10, 9);63.0;250.0;100.0;0.2;1.0;{87: 63.0};{9: 19.0, 10: 19.0, 23: 10.0, 24: 4.0, 42: 11.0};{87: {12.0: 1.0, 32.0: 10.0, 36.0: 19.0, 52.0: 9.0, 56.0: 12.0, 80.0: 8.0, 84.0: 4.0}};18617.5;18617.5;13;52
12.0;(87, 81, 66, 65, 61, 48, 47);21.0;250.0;100.0;0.2;0.8999999999999999;{87: 21.0};{47: 11.0, 48: 10.0};{87: {12.0: 1.0, 16.0: 9.0, 88.0: 11.0}};3767.5;3767.5;7;53
12.0;(13, 19, 10, 9, 8, 1);1183.0;250.0;100.0;0.2;1.0;{13: 1183.0};{1: 1128.0, 9: 55.0};{13: {12.0: 3.0, 16.0: 17.0, 20.0: 18.0, 24.0: 51.0, 28.0: 94.0, 32.0: 108.0, 36.0: 82.0, 40.0: 100.0, 44.0: 61.0, 48.0: 67.0, 52.0: 61.0, 56.0: 80.0, 60.0: 69.0, 64.0: 72.0, 68.0: 76.0, 72.0: 74.0, 76.0: 52.0, 80.0: 29.0, 84.0: 12.0, 88.0: 43.0, 92.0: 14.0}};192170.0;192170.0;6;54
12.0;(8, 2, 3, 4, 5, 6, 7, 15);87.0;250.0;100.0;0.2;1.0;{8: 87.0};{15: 87.0};{8: {12.0: 1.0, 20.0: 1.0, 24.0: 2.0, 28.0: 8.0, 32.0: 4.0, 36.0: 9.0, 40.0: 8.0, 44.0: 6.0, 48.0: 10.0, 52.0: 3.0, 56.0: 4.0, 60.0: 8.0, 64.0: 4.0, 68.0: 6.0, 72.0: 6.0, 76.0: 1.0, 80.0: 5.0, 92.0: 1.0}};19140.0;19140.0;8;55
12.0;(10, 22, 23, 24, 38, 44);1.0;250.0;100.0;0.2;0.6000000000000001;{10: 1.0};{44: 1.0};{10: {12.0: 1.0}};165.0;165.0;6;56
12.0;(64, 70, 59, 58, 56);1781.0;250.0;100.0;0.2;0.9000000000000001;{64: 1781.0};{56: 1781.0};{64: {12.0: 4.0, 16.0: 3.0, 20.0: 29.0, 24.0: 70.0, 28.0: 177.0, 32.0: 156.0, 36.0: 152.0, 40.0: 150.0, 44.0: 119.0, 48.0: 97.0, 52.0: 84.0, 56.0: 104.0, 60.0: 114.0, 64.0: 115.0, 68.0: 121.0, 72.0: 101.0, 76.0: 99.0, 80.0: 57.0, 84.0: 15.0, 88.0: 10.0, 92.0: 4.0}};244887.5;244887.5;5;57
12.0;(16, 18, 32, 33, 34, 45);173.0;250.0;100.0;0.2;1.0;{16: 173.0};{45: 172.0, 33: 1.0};{16: {12.0: 1.0, 16.0: 2.0, 56.0: 41.0, 60.0: 56.0, 72.0: 62.0, 88.0: 8.0, 92.0: 3.0}};28490.0;28490.0;6;58
12.0;(2, 8, 9, 10, 22, 23);81.0;250.0;100.0;0.2;1.0;{2: 81.0};{23: 80.0, 22: 1.0};{2: {12.0: 1.0, 16.0: 3.0, 24.0: 43.0, 76.0: 28.0, 88.0: 4.0, 92.0: 2.0}};13337.5;13337.5;6;59
12.0;(76, 77, 78, 68, 62, 55, 52);1094.0;250.0;100.0;0.2;1.0;{76: 1094.0};{52: 1094.0};{76: {12.0: 1.0, 16.0: 2.0, 20.0: 17.0, 24.0: 43.0, 28.0: 95.0, 32.0: 113.0, 36.0: 94.0, 40.0: 87.0, 44.0: 80.0, 48.0: 70.0, 52.0: 41.0, 56.0: 59.0, 60.0: 65.0, 64.0: 59.0, 68.0: 68.0, 72.0: 75.0, 76.0: 54.0, 80.0: 43.0, 84.0: 22.0, 88.0: 5.0, 92.0: 1.0}};210595.0;210595.0;7;60
12.0;(34, 45, 44, 43, 41);27.0;250.0;100.0;0.2;1.0;{34: 27.0};{41: 27.0};{34: {12.0: 1.0, 16.0: 1.0, 20.0: 2.0, 24.0: 1.0, 28.0: 2.0, 32.0: 1.0, 36.0: 1.0, 40.0: 1.0, 44.0: 3.0, 48.0: 2.0, 52.0: 1.0, 56.0: 1.0, 60.0: 3.0, 64.0: 4.0, 80.0: 1.0, 84.0: 2.0}};3712.5;3712.5;5;61
12.0;(51, 52, 55, 62, 68, 78, 77);1164.0;250.0;100.0;0.2;1.0;{51: 1164.0};{77: 1164.0};{51: {12.0: 1.0, 16.0: 2.0, 20.0: 13.0, 24.0: 60.0, 28.0: 110.0, 32.0: 117.0, 36.0: 92.0, 40.0: 100.0, 44.0: 90.0, 48.0: 49.0, 52.0: 54.0, 56.0: 65.0, 60.0: 68.0, 64.0: 65.0, 68.0: 80.0, 72.0: 82.0, 76.0: 54.0, 80.0: 34.0, 84.0: 20.0, 88.0: 6.0, 92.0: 2.0}};224070.0;224070.0;7;62
12.0;(44, 43, 41, 42, 61, 63, 64, 70, 71, 73, 77);407.0;250.0;100.0;0.2;1.0;{44: 407.0};{77: 406.0, 63: 1.0};{44: {12.0: 1.0, 16.0: 3.0, 20.0: 4.0, 24.0: 18.0, 28.0: 37.0, 32.0: 34.0, 36.0: 41.0, 40.0: 32.0, 44.0: 27.0, 48.0: 26.0, 52.0: 23.0, 56.0: 13.0, 60.0: 24.0, 64.0: 26.0, 68.0: 25.0, 72.0: 21.0, 76.0: 28.0, 80.0: 10.0, 84.0: 9.0, 88.0: 3.0, 92.0: 2.0}};122980.0;122980.0;11;63
12.0;(83, 67, 62, 55, 53, 30, 29, 26, 27);838.0;250.0;100.0;0.2;1.0;{83: 838.0};{27: 345.0, 26: 493.0};{83: {12.0: 3.0, 20.0: 11.0, 24.0: 60.0, 28.0: 64.0, 32.0: 58.0, 36.0: 74.0, 40.0: 65.0, 44.0: 71.0, 48.0: 35.0, 52.0: 46.0, 56.0: 51.0, 60.0: 45.0, 64.0: 59.0, 68.0: 53.0, 72.0: 61.0, 76.0: 38.0, 80.0: 30.0, 84.0: 8.0, 88.0: 6.0}};193847.5;193847.5;9;64
