,ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID.1,demand_0,tc_0,demand_1,tc_1,projected_points
109,109,14.0,ra,60.0,1,4633.7319,109,0.0,0.0,144.58489371000005,7366.0,POINT (470564.684594975 479802.98211853526)
110,110,14.0,link,6.0,2,6596.6004,110,78.99945084800001,4016.0,0.0,7366.0,POINT (472157.1388 480950.0432)
111,111,15.0,link,6.0,2,0.0,111,0.0,402.0,17.599703346000002,222.0,POINT (472157.1388 480950.0432)
112,112,15.0,od,21.0,2,7927.7943,112,31.869733086,402.0,25.825875905000007,145.0,POINT (472920.55812910217 487785.5696206992)
113,113,15.0,ra,64.0,1,25738.7432,113,0.0,0.0,28.59234729,145.0,POINT (483152.3628103555 494879.49433593673)
114,114,15.0,ra,65.0,0,25740.9022,114,50.94548859400001,286.0,0.0,0.0,POINT (483153.50574832014 494881.3259946956)
115,115,15.0,od,22.0,2,45457.6034,115,56.389765432,286.0,0.0,0.0,POINT (487528.062811924 511765.1137423326)
116,116,15.0,link,,2,48631.1786,116,0.0,0.0,0.0,0.0,POINT (486731.1665 514538.4749)
117,117,16.0,link,6.0,2,0.0,117,0.0,11453.0,1409.66217777,11445.0,POINT (472157.1388 480950.0432)
118,118,16.0,ra,66.0,1,12316.8386,118,0.0,0.0,2359.6057386300004,11445.0,POINT (483210.5218739728 479130.24269001244)
119,119,16.0,ra,67.0,0,12575.9467,119,1440.323175551,11453.0,0.0,0.0,POINT (483466.69560813945 479091.4297788081)
120,120,16.0,ra,72.0,0,25449.0803,120,1474.3599912080003,11453.0,0.0,0.0,POINT (492850.13430531794 471853.21911061683)
121,121,16.0,ra,74.0,1,32933.752,121,0.0,0.0,1903.5056644800004,11445.0,POINT (499256.0289558316 469168.02242452133)
122,122,16.0,ra,76.0,0,49497.4689,122,2754.2619463580004,11453.0,0.0,0.0,POINT (514585.97515063186 473009.73440669803)
123,123,16.0,ra,77.0,1,49565.5184,123,0.0,0.0,2063.58504828,11445.0,POINT (514653.8683744405 473014.34359438275)
124,124,16.0,ra,82.0,1,67595.9688,124,0.0,0.0,353.2989897150005,11445.0,POINT (531485.813964628 474320.63813732873)
125,125,16.0,ra,83.0,0,68666.0746,125,2195.380410821001,11453.0,0.0,0.0,POINT (532412.4719649106 474846.1041536926)
126,126,16.0,od,24.0,2,70682.8975,126,230.9867267369999,11453.0,0.0,0.0,POINT (534408.6319473161 475122.4405057204)
127,127,16.0,ra,86.0,1,81021.8927,127,0.0,0.0,0.0,0.0,POINT (543005.5417629546 479555.4163932542)
128,128,16.0,ra,89.0,0,92123.3791,128,0.0,0.0,0.0,0.0,POINT (552245.0186812596 479296.501492194)
129,129,16.0,ra,90.0,1,92203.5095,129,0.0,0.0,0.0,0.0,POINT (552316.2429692361 479259.78662046045)
130,130,16.0,ra,94.0,2,106046.1166,130,0.0,0.0,0.0,0.0,POINT (565422.8968527094 477766.7902318694)
131,131,16.0,link,12.0,2,113917.8108,131,0.0,0.0,0.0,0.0,POINT (573191.6347 478224.432)
132,132,17.0,link,,2,0.0,132,0.0,0.0,0.0,0.0,POINT (473345.786 306964.8875)
133,133,17.0,link,7.0,2,109.925,133,0.0,0.0,0.0,0.0,POINT (473413.66357077454 307051.16946633556)
134,134,18.0,link,7.0,2,0.0,134,0.0,2800.0,0.044067276,2827.0,POINT (473413.6636 307051.1695)
135,135,18.0,od,27.0,2,1.5588,135,0.0436464,2800.0,29.269536736000003,2827.0,POINT (473415.0647626311 307050.4864182177)
136,136,18.0,od,28.0,2,1036.9156,136,28.989990400000003,2800.0,0.0,0.0,POINT (474319.3333233694 306553.4347924273)
137,137,18.0,ra,68.0,0,12318.138,137,315.87422720000006,2800.0,0.0,0.0,POINT (484587.93053559517 305090.1406469151)
138,138,18.0,ra,69.0,1,12346.3057,138,0.0,0.0,0.0,0.0,POINT (484616.01242867263 305087.9931726395)
139,139,18.0,ra,73.0,2,27186.3294,139,416.3093592,2800.0,0.0,0.0,POINT (496627.86895286466 309499.01551627065)
140,140,18.0,ra,81.0,2,76811.9777,140,1389.5181524000002,2800.0,0.0,0.0,POINT (520211.8543913453 341031.2935614888)
141,141,18.0,ra,84.0,0,91803.7907,141,419.7707639999999,2800.0,0.0,0.0,POINT (533952.9397252677 342495.0689461542)
142,142,18.0,ra,85.0,1,91872.4612,142,0.0,0.0,0.0,0.0,POINT (534021.5493312958 342493.4794256167)
143,143,18.0,ra,92.0,2,121334.7327,143,826.8663760000001,2800.0,0.0,0.0,POINT (555869.9693444432 342137.7008539572)
144,144,18.0,link,11.0,2,126075.5317,144,132.7423720000004,2800.0,0.0,0.0,POINT (557911.3213693777 346371.59987189784)
145,145,19.0,link,7.0,2,0.0,145,0.0,0.0,0.0,0.0,POINT (473413.6636 307051.1695)
146,146,19.0,link,,2,18219.5771,146,0.0,0.0,0.0,0.0,POINT (480627.9627864985 322072.3263827177)
147,147,20.0,link,,2,0.0,147,0.0,0.0,0.0,0.0,POINT (498239.7266 364454.5736)
148,148,20.0,od,32.0,2,15887.6367,148,0.0,0.0,19.689512128000004,304.0,POINT (511924.38353022136 370168.57324040117)
149,149,20.0,ra,78.0,0,22308.8999,149,35.70222339200001,556.0,0.0,0.0,POINT (517080.05814847944 373841.0743235341)
150,150,20.0,ra,79.0,1,22364.4499,150,0.0,0.0,45.261886944,304.0,POINT (517131.4762532034 373862.0956394425)
151,151,20.0,link,8.0,2,37253.2285,151,83.09046701599999,556.0,0.0,304.0,POINT (526729.4978 383262.2256)
152,152,21.0,link,8.0,2,0.0,152,0.0,391.0,121.666031552,416.0,POINT (526729.4978 383262.2256)
153,153,21.0,ra,87.0,2,29246.6422,153,114.354371002,391.0,13.427778624000013,416.0,POINT (550299.1409837399 369267.15059305215)
154,154,21.0,link,10.0,2,32474.4736,154,12.620820774000013,391.0,0.0,416.0,POINT (551433.5608994506 366421.43591014016)
155,155,22.0,link,8.0,2,0.0,155,0.0,147.0,54.81670981500001,215.0,POINT (526729.4978 383262.2256)
156,156,22.0,link,9.0,2,25496.1441,156,37.479331827,147.0,0.0,215.0,POINT (547014.1024 391490.037)
157,157,23.0,link,,2,0.0,157,0.0,0.0,0.0,0.0,POINT (546667.4286 391481.0288)
158,158,23.0,link,9.0,2,348.031,158,0.0,0.0,0.0,0.0,POINT (547014.1024 391490.037)
159,159,24.0,link,9.0,2,0.0,159,0.0,171.0,11.562236608,236.0,POINT (547014.1024 391490.037)
160,160,24.0,od,36.0,2,4899.2528,160,8.377722288000001,171.0,12.539628984000002,226.0,POINT (549434.3774114938 395694.6152147715)
161,161,24.0,ra,88.0,0,7001.1249,161,3.405032802,162.0,0.0,0.0,POINT (551310.1321834999 396522.8177472326)
162,162,24.0,ra,91.0,1,10447.7612,162,0.0,0.0,46.125634754,226.0,POINT (553797.3538703603 398348.53499805613)
163,163,24.0,ra,97.0,0,30840.5692,163,38.61989976600001,162.0,0.0,0.0,POINT (569852.5921306515 409027.07570448815)
164,164,24.0,ra,98.0,1,30857.3341,164,0.0,0.0,56.29392077000001,226.0,POINT (569869.344178634 409027.73202788306)
165,165,24.0,ra,108.0,2,55766.1486,165,40.379438628,162.0,45.73016323,226.0,POINT (589631.7528217871 419755.42994200945)
166,166,24.0,ra,114.0,2,76000.7341,166,32.78002851000001,162.0,4.914913981999988,226.0,POINT (607738.8828278296 426804.05623605434)
167,167,24.0,link,15.0,2,78175.4748,167,3.523079933999992,162.0,0.0,226.0,POINT (609820.2056966277 427385.10480010416)
168,168,25.0,link,9.0,2,0.0,168,0.0,21.0,8.459561424,24.0,POINT (547014.1024 391490.037)
169,169,25.0,link,10.0,2,35248.1726,169,7.402116246,21.0,0.0,24.0,POINT (551433.5609015936 366421.4359114221)
170,170,26.0,link,10.0,2,0.0,170,0.0,412.0,58.876030840000006,440.0,POINT (551433.5609 366421.4359)
171,171,26.0,od,38.0,2,13380.9161,171,55.129374332000005,412.0,42.42244779000001,395.0,POINT (555381.0166407089 354963.4444289703)
172,172,26.0,link,11.0,2,24120.7763,172,40.48927295400001,377.0,0.0,395.0,POINT (557911.3214 346371.5999)
173,173,27.0,link,11.0,2,0.0,173,0.0,3003.0,540.2732306,3422.0,POINT (557911.3214 346371.5999)
174,174,27.0,ra,99.0,0,15398.2815,174,462.410393445,3003.0,0.0,0.0,POINT (570426.1645889839 354029.0937114281)
175,175,27.0,ra,100.0,1,15788.23,175,0.0,0.0,336.374671226,3422.0,POINT (570813.5617772832 354037.8785314648)
176,176,27.0,od,39.0,2,25617.9983,176,306.898095504,3003.0,216.55305623600003,3377.0,POINT (579081.667466008 358266.6667895764)
177,177,27.0,ra,107.0,2,32030.5851,177,189.81256928000005,2960.0,681.721774393,3377.0,POINT (584814.6308686035 359115.67462654103)
