,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
118,118,250.0,100.0,0.15,270.0,True,0.3915659462267796
119,119,250.0,100.0,0.15,883.0,True,0.27945772765491683
120,120,250.0,100.0,0.15,24.0,True,0.3990541525165832
121,121,250.0,100.0,0.15,4.0,True,0.38174143147360606
122,122,250.0,100.0,0.15,65.0,True,0.3984165381971752
123,123,250.0,100.0,0.15,4.0,True,0.3997123878623779
124,124,250.0,100.0,0.15,35.0,True,0.3992284450838341
125,125,250.0,100.0,0.15,24.0,True,0.3973965231675485
126,126,250.0,100.0,0.15,245.0,True,0.39733069737400484
127,127,250.0,100.0,0.15,93.0,True,0.3299550701328762
128,128,250.0,100.0,0.15,505.0,True,0.3855829251502741
129,129,250.0,100.0,0.15,102.0,True,0.3364854863884542
130,130,250.0,100.0,0.15,78.0,True,0.39884927264698333
131,131,250.0,100.0,0.15,31.0,True,0.39915970261924566
132,132,250.0,100.0,0.15,1368.0,True,0.36541482029787226
133,133,250.0,100.0,0.15,524.0,True,0.3493141056159466
134,134,250.0,100.0,0.15,608.0,True,0.3628458526718209
135,135,250.0,100.0,0.15,552.0,True,0.3660167710837365
136,136,250.0,100.0,0.15,18.0,True,0.39946519590029184
137,137,250.0,100.0,0.15,338.0,True,0.3662954591627845
138,138,250.0,100.0,0.15,1.0,True,0.34601031076261957
139,139,250.0,100.0,0.15,3.0,True,0.3979595932067856
140,140,250.0,100.0,0.15,59.0,True,0.38359274659467985
141,141,250.0,100.0,0.15,25.0,True,0.3695350482600872
142,142,250.0,100.0,0.15,140.0,True,0.39789720702345527
143,143,250.0,100.0,0.15,43.0,True,0.3874680827677579
144,144,250.0,100.0,0.15,52.0,True,0.38306538924048106
145,145,250.0,100.0,0.15,266.0,True,0.3888167267108492
146,146,250.0,100.0,0.15,191.0,True,0.3980510502904263
147,147,250.0,100.0,0.15,155.0,True,0.3790749500843217
148,148,250.0,100.0,0.15,6172.0,True,0.3329502514555651
149,149,250.0,100.0,0.15,20.0,True,0.37124075839898796
150,150,250.0,100.0,0.15,64.0,True,0.3662492755175293
151,151,250.0,100.0,0.15,33.0,True,0.39917207398920257
152,152,250.0,100.0,0.15,128.0,True,0.3659619081213832
153,153,250.0,100.0,0.15,91.0,True,0.39805253303992777
154,154,250.0,100.0,0.15,90.0,True,0.3306375734379614
155,155,250.0,100.0,0.15,305.0,True,0.32318715169788087
156,156,250.0,100.0,0.15,496.0,True,0.3328531268504378
157,157,250.0,100.0,0.15,86.0,True,0.3955468964851016
158,158,250.0,100.0,0.15,101.0,True,0.3825882001895053
159,159,250.0,100.0,0.15,32.0,True,0.33475220900803876
160,160,250.0,100.0,0.15,57.0,True,0.34915979572580197
161,161,250.0,100.0,0.15,4143.0,True,0.3465857968422486
162,162,250.0,100.0,0.15,132.0,True,0.3272019342588417
