highway,name,osm_id,geometry,asfinag_position,dist_along_highway
A10,Golling an der Salzach / Abtenau,17282553,POINT (386399.8218200631 410604.1417906462),28,24994.288284414917
A10,Pass Lueg,1055214183,POINT (388091.2397446448 404780.3513265035),34,31211.099846468915
A10,Werfen,1042402752,POINT (389898.3534313346 396861.1847743221),43,39792.444627556484
A10,Knoten Pongau,158444914,POINT (391411.6818635435 393832.6344382779),47,43273.41471309373
A10,Hüttau,18712100,POINT (400643.1878965998 391804.0788019885),56,53544.67255515808
A10,Eben,371126574,POINT (404138.0805359454 390838.7663307159),60,57364.4462400666
A10,Altenmarkt,18712153,POINT (404745.6558558245 388626.5595660897),63,59702.14450885925
A10,Flachau,20949467,POINT (404847.5312108726 384848.9400943639),66,63700.7113441272
A10,Flachauwinkl,20949502,POINT (404529.4375678921 377714.7189112047),74,70959.10439267197
A10,Zederhaus,18017064,POINT (411371.6080163216 362334.0577894793),92,89254.98597968547
A10,St. Michael im Lungau,1499752516,POINT (420964.4950038222 355042.3270826537),104,101589.15098920661
A10,Rennweg,1036623858,POINT (420990.0958776466 347117.2382019089),113,110385.70680213092
A10,Gmünd-Maltatal,20950545,POINT (415894.5288747923 333579.0124157132),129,127045.3860229957
A10,Knoten Spittal-Millstätter See,20949870,POINT (411881.1379003523 325949.6724342083),139,136269.9904946454
A10,Spittal Ost,260772181,POINT (415536.5963830369 320564.9899306339),146,143873.57273942992
A10,Paternion Feistritz,2006191942,POINT (423889.9692007638 310984.3543046628),158,156727.91665521104
A10,Villach West,270439576,POINT (435271.4463462164 305044.6495614833),173,170070.0968679289
A10,Villach Ossiachersee,2022853382,POINT (440987.4952647759 305892.7254822114),179,176026.22690215643
A10,Knoten Villach,18017753,POINT (443312.7982408032 302837.3542333709),182,180056.29440155253
A10,Pfarrwerfen,248540547,POINT (390895.5636439787 395363.6126106576),44,222515.89106610444
A10,Gmünd-Maltatal,1237734005,POINT (415190.2618547198 333348.5841541173),130,308703.1336478013
A10,Villach-West,2006860212,POINT (435853.9333670574 304803.7844975417),173,351462.83857060125
A11,St. Niklas,255897151,POINT (446125.1225309339 300556.8138419512),3,3009.874690072455
A11,St.Jakob im Rosental,18017719,POINT (451624.362270518 295856.9407284677),11,11229.49981010384
A12,Kufstein Nord,266852880,POINT (313279.4336552715 411706.0433096719),2,1280.6465980989062
A12,Kufstein Süd,27017341,POINT (310405.3404178474 408369.9171031357),6,5782.4319064075835
A12,Kirchbichl,27017312,POINT (307098.6552922489 404576.6208989422),11,10943.858682859554
A12,Wörgl Ost,14570689,POINT (304049.9950092608 400633.9623514767),17,16448.739081307845
A12,Wörgl West,60244766,POINT (301519.8649544813 399101.7458986955),20,19680.87778302552
A12,Kramsach,14570803,POINT (290906.469611544 394601.8356857784),32,31482.20528475784
A12,"Wiesing (Achensee, Zillertal)",14570711,POINT (284541.6924829918 390360.9089049862),39,39478.66353593082
A12,Schwaz,14570636,POINT (277042.367646021 385802.7973823303),49,48684.49813980139
A12,Vomp,280347441,POINT (275178.5128771114 382718.626189328),53,52349.198157764244
A12,Wattens,13884136,POINT (268130.4160685905 379331.7692062162),61,60503.41422684152
A12,Hall Mitte,253340187,POINT (262475.0449633919 376760.2333296215),68,67078.30788382696
A12,Hall-West,1595654755,POINT (259960.325968469 376384.9532855748),70,69695.68740535041
A12,Innsbruck Ost,269423348,POINT (256957.6261068719 375304.9466001695),73,72966.88700706353
A12,Knoten Innsbruck-Amras,13885908,POINT (255305.0988086807 374577.1222275646),74,74788.45864043322
A12,Innsbruck Mitte,28123562,POINT (255053.8200927955 374560.4451838871),75,75040.5901370281
A12,Innsbruck West,21551419,POINT (252219.1886594747 374541.0620834757),79,78020.4635412878
A12,Innsbruck-Kranebitten,52267186,POINT (247933.941341135 375453.7210055373),83,82782.23631009752
A12,Zirl Ost,30003229,POINT (244199.7759905168 376025.4191980407),87,86708.02659530228
A12,Zirl West,1595624140,POINT (241015.686704758 376444.6089308699),91,90230.49082454068
A12,Telfs Ost,21551001,POINT (231718.951484184 381523.5233284359),101,101350.37123183951
A12,Telfs West,681869497,POINT (229038.7242675883 380537.908048435),105,104235.94991056534
A12,Mötz-Reutte,21550752,POINT (220963.1682394792 378247.8732560446),113,112711.95241460566
A12,Haiming-Ötztal,61736047,POINT (211908.970723331 374251.6785914833),123,123146.17086525813
A12,"Imst, Pitztal",282719337,POINT (204562.1559381556 371983.9679909839),132,131312.6579295468
A12,Imst-Au,283941165,POINT (203463.6657613469 371880.3259093787),133,132426.2540593394
A12,Mils,61084085,POINT (200677.7680990451 371734.3886982633),136,135229.66730767858
A12,Knoten Oberinntal,61711445,POINT (193391.1756452466 367388.7998841442),144,144146.73463584803
A12,Zams,61711449,POINT (192393.4430783153 367059.1727415632),144,145202.88456456567
A12,Kufstein-Nord,26854990,POINT (312767.2796885452 411160.9064097281),1,147492.2694289066
A12,Wiesing (Achensee),305582311,POINT (284667.7997309986 390441.3039351766),39,184795.64566252008
A12,Zillertal,314157981,POINT (284393.738069528 390171.6082533657),40,185182.5390626201
A12,Jenbach,26843105,POINT (282092.2837492843 388571.1687178134),43,188229.45134228014
A12,Hall Mitte,201822585,POINT (260530.6110406152 376381.1137098616),67,214594.83821539767
A12,Knoten Innsbruck-Wilten,2143893806,POINT (252354.3107677866 374497.7375125156),77,223376.2633069704
A12,Schönwies,730011059,POINT (196411.1123152791 369205.2925280948),140,285940.1468460237
A13,Knoten Innsbruck-Berg Isel,4474589115,POINT (253051.0436996229 373262.2548247523),2,2769.8624215010136
A13,Innsbruck Süd,4490914160,POINT (253033.588041108 372829.4240223437),3,3209.1176009355863
A13,Zenzenhof,14611864,POINT (253198.6981381596 371595.4851287861),4,4465.995255637026
A13,Patsch - Igls,277692190,POINT (253921.9861596019 369324.5558713133),7,6951.048973714799
A13,Schönberg - Stubaital,444690003,POINT (253478.3939006752 366800.5744256205),10,9768.412698587566
A13,Matrei,1633458935,POINT (257228.382729521 359230.3535486007),19,19460.751355757166
A13,Nößlach,14602357,POINT (259312.975742759 352592.8234187764),27,27073.437884518306
A13,Brenner-Nord,14602289,POINT (261205.8092089962 347537.8768456533),33,33542.862455360395
A13,Knoten Innsbruck-Amras,13885908,POINT (255305.0988086807 374577.1222275646),74,34441.538587280804
A13,Innsbruck Mitte,28123562,POINT (255053.8200927955 374560.4451838871),75,34691.934480756165
A14,Hörbranz-Lochau,282628732,POINT (130458.6756306334 410893.1445028594),1,1255.1039885482664
A14,Knoten Bregenz,1592978501,POINT (129773.9637127305 404851.0940415474),9,8764.462743373262
A14,Wolfurt-Lauterach,1703277838,POINT (128217.1725477984 402097.704301163),12,12114.872734659266
A14,Dornbirn-Nord,267241046,POINT (127947.2629127419 400540.4346952338),14,13781.757919003154
A14,Dornbirn-Süd/Lustenau,18158073,POINT (126756.6382834808 397096.5778969958),18,17490.414672561295
A14,Hohenems,18158314,POINT (123754.0649683564 392859.3514904295),23,22780.540167119863
A14,Altach,2112208811,POINT (121128.1665121468 390372.5106497714),27,26419.8983573699
