start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
36.0;(33, 44, 43, 42, 38, 24, 23, 22, 21, 25, 26);4.0;41.0;55.0;0.236;0.8999999999999999;{33: 4.0};{26: 4.0};{33: {36.0: 3.0, 56.0: 1.0}};11;842
36.0;(5, 4, 3, 2, 7, 8, 9, 21, 25, 29);3.0;110.0;60.0;0.209;1.0;{5: 3.0};{29: 3.0};{5: {36.0: 1.0, 72.0: 2.0}};10;843
36.0;(27, 26, 25, 21, 9, 8, 7, 1);6.0;41.0;55.0;0.236;1.0;{27: 6.0};{1: 6.0};{27: {36.0: 5.0, 60.0: 1.0}};8;844
36.0;(76, 72, 70, 69, 63, 62, 60, 41, 40, 42, 43);28.0;110.0;60.0;0.209;0.8999999999999999;{76: 28.0};{43: 28.0};{76: {36.0: 12.0, 56.0: 16.0}};11;845
36.0;(12, 19, 22, 23, 24, 38, 42, 43, 44, 48);1.0;41.0;55.0;0.236;0.5;{12: 1.0};{48: 1.0};{12: {36.0: 1.0}};10;846
36.0;(46, 47, 60, 62, 63, 69, 58, 57, 53, 30);8.0;110.0;60.0;0.209;0.8999999999999999;{46: 8.0};{30: 5.0, 58: 3.0};{46: {36.0: 4.0, 68.0: 4.0}};10;847
36.0;(33, 44, 43, 42, 38, 24, 23, 22, 9, 8);2.0;110.0;60.0;0.209;1.0;{33: 2.0};{8: 2.0};{33: {36.0: 2.0}};10;848
36.0;(82, 66, 67, 77, 72, 70, 69, 63, 62, 60, 47, 46);1.0;110.0;60.0;0.209;1.0;{82: 1.0};{46: 1.0};{82: {36.0: 1.0}};12;849
36.0;(41, 60, 62, 63, 69, 58, 57, 53, 30);4.0;41.0;55.0;0.236;0.8999999999999999;{41: 4.0};{30: 4.0};{41: {36.0: 3.0, 52.0: 1.0}};9;850
36.0;(33, 44, 43, 42, 38, 24, 23, 22, 9);2.0;41.0;55.0;0.236;1.0;{33: 2.0};{9: 2.0};{33: {36.0: 1.0, 56.0: 1.0}};9;851
36.0;(76, 72, 70, 69, 63, 62, 60, 41, 40, 38, 36);8.0;41.0;55.0;0.236;1.0;{76: 8.0};{36: 8.0};{76: {36.0: 2.0, 64.0: 6.0}};11;852
36.0;(51, 54, 61, 67, 77, 72, 70, 69, 63);9.0;41.0;55.0;0.236;1.0;{51: 9.0};{63: 9.0};{51: {36.0: 6.0, 60.0: 3.0}};9;853
36.0;(41, 60, 62, 63, 69, 70, 72, 76);11.0;110.0;60.0;0.209;0.7999999999999999;{41: 11.0};{76: 11.0};{41: {36.0: 7.0, 48.0: 4.0}};8;854
36.0;(9, 22, 23, 24, 38, 40, 41, 60, 62, 63, 69, 58);1.0;41.0;55.0;0.236;1.0;{9: 1.0};{58: 1.0};{9: {36.0: 1.0}};12;855
36.0;(27, 26, 25, 21, 22, 23, 24, 38, 40);1.0;110.0;60.0;0.209;1.0000000000000002;{27: 1.0};{40: 1.0};{27: {36.0: 1.0}};9;856
