,segment_id,dir,start_dist,end_dist,type_of_cell
11,5,1,75000.0,100000.0,1
12,5,1,100000.0,100000.0,0
0,6,0,0.0,0.0,0
1,6,0,0.0,0.0,1
2,6,0,0.0,0.0,2
3,6,0,0.0,0.0,1
4,6,0,0.0,0.0,2
5,6,0,0.0,25000.0,1
6,6,0,25000.0,25000.0,2
7,6,0,25000.0,50000.0,1
8,6,0,50000.0,50000.0,2
9,6,0,50000.0,50000.0,1
10,6,0,50000.0,50000.0,0
0,6,1,0.0,0.0,0
1,6,1,0.0,25000.0,1
2,6,1,25000.0,25000.0,2
3,6,1,25000.0,50000.0,1
4,6,1,50000.0,50000.0,2
5,6,1,50000.0,75000.0,1
6,6,1,75000.0,75000.0,0
0,7,0,0.0,0.0,0
1,7,0,0.0,0.0,1
2,7,0,0.0,0.0,2
3,7,0,0.0,0.0,1
4,7,0,0.0,0.0,2
5,7,0,0.0,25000.0,1
6,7,0,25000.0,25000.0,0
0,7,1,0.0,0.0,0
1,7,1,0.0,25000.0,1
2,7,1,25000.0,25000.0,2
3,7,1,25000.0,25000.0,1
4,7,1,25000.0,25000.0,2
5,7,1,25000.0,25000.0,1
6,7,1,25000.0,25000.0,0
0,8,0,0.0,0.0,0
1,8,0,0.0,0.0,1
2,8,0,0.0,0.0,2
3,8,0,0.0,25000.0,1
4,8,0,25000.0,25000.0,0
0,8,1,0.0,0.0,0
1,8,1,0.0,25000.0,1
2,8,1,25000.0,25000.0,2
3,8,1,25000.0,25000.0,1
4,8,1,25000.0,25000.0,0
0,9,0,0.0,0.0,0
1,9,0,0.0,0.0,1
2,9,0,0.0,0.0,2
3,9,0,0.0,25000.0,1
4,9,0,25000.0,25000.0,0
0,9,1,0.0,0.0,0
1,9,1,0.0,25000.0,1
2,9,1,25000.0,25000.0,2
3,9,1,25000.0,25000.0,1
4,9,1,25000.0,25000.0,0
0,10,0,0.0,0.0,0
1,10,0,0.0,25000.0,1
2,10,0,25000.0,25000.0,2
3,10,0,25000.0,25000.0,1
4,10,0,25000.0,25000.0,0
0,10,1,0.0,0.0,0
1,10,1,0.0,0.0,1
2,10,1,0.0,0.0,2
3,10,1,0.0,25000.0,1
4,10,1,25000.0,25000.0,0
0,11,0,0.0,0.0,0
1,11,0,0.0,0.0,1
2,11,0,0.0,0.0,2
3,11,0,0.0,25000.0,1
4,11,0,25000.0,25000.0,0
0,11,1,0.0,0.0,0
1,11,1,0.0,0.0,1
2,11,1,0.0,0.0,2
3,11,1,0.0,25000.0,1
4,11,1,25000.0,25000.0,2
5,11,1,25000.0,25000.0,1
6,11,1,25000.0,25000.0,0
0,12,0,0.0,0.0,0
1,12,0,0.0,25000.0,1
2,12,0,25000.0,25000.0,2
3,12,0,25000.0,25000.0,1
4,12,0,25000.0,25000.0,0
0,12,1,0.0,0.0,0
1,12,1,0.0,0.0,1
2,12,1,0.0,0.0,2
3,12,1,0.0,25000.0,1
4,12,1,25000.0,25000.0,0
0,13,0,0.0,0.0,0
1,13,0,0.0,25000.0,1
2,13,0,25000.0,25000.0,2
3,13,0,25000.0,50000.0,1
4,13,0,50000.0,50000.0,2
5,13,0,50000.0,75000.0,1
6,13,0,75000.0,75000.0,2
7,13,0,75000.0,100000.0,1
8,13,0,100000.0,100000.0,2
9,13,0,100000.0,125000.0,1
10,13,0,125000.0,125000.0,2
11,13,0,125000.0,125000.0,1
12,13,0,125000.0,125000.0,0
0,13,1,0.0,0.0,0
1,13,1,0.0,0.0,1
2,13,1,0.0,0.0,2
3,13,1,0.0,50000.0,1
4,13,1,50000.0,50000.0,2
5,13,1,50000.0,50000.0,1
6,13,1,50000.0,50000.0,2
7,13,1,50000.0,75000.0,1
8,13,1,75000.0,75000.0,2
9,13,1,75000.0,100000.0,1
10,13,1,100000.0,100000.0,2
11,13,1,100000.0,125000.0,1
12,13,1,125000.0,125000.0,0
0,14,0,0.0,0.0,0
1,14,0,0.0,0.0,1
2,14,0,0.0,0.0,2
3,14,0,0.0,0.0,1
4,14,0,0.0,0.0,0
0,14,1,0.0,0.0,0
1,14,1,0.0,0.0,1
2,14,1,0.0,0.0,2
3,14,1,0.0,0.0,1
4,14,1,0.0,0.0,0
0,15,0,0.0,0.0,0
1,15,0,0.0,25000.0,1
2,15,0,25000.0,25000.0,2
3,15,0,25000.0,50000.0,1
4,15,0,50000.0,50000.0,0
0,15,1,0.0,0.0,0
1,15,1,0.0,25000.0,1
2,15,1,25000.0,25000.0,2
3,15,1,25000.0,50000.0,1
4,15,1,50000.0,50000.0,0
0,16,0,0.0,0.0,0
1,16,0,0.0,25000.0,1
2,16,0,25000.0,25000.0,2
3,16,0,25000.0,25000.0,1
4,16,0,25000.0,25000.0,2
5,16,0,25000.0,50000.0,1
6,16,0,50000.0,50000.0,2
7,16,0,50000.0,75000.0,1
8,16,0,75000.0,75000.0,2
9,16,0,75000.0,100000.0,1
10,16,0,100000.0,100000.0,2
11,16,0,100000.0,100000.0,1
12,16,0,100000.0,100000.0,2
13,16,0,100000.0,125000.0,1
