start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
16.0;(11, 12, 19, 9, 8);34.0;110.0;60.0;0.16;0.9000000000000001;{11: 34.0};{8: 34.0};{11: {16.0: 1.0, 44.0: 33.0}};5;52
16.0;(76, 72, 70, 69, 63, 62, 64);83.0;41.0;55.0;0.182;1.0;{76: 83.0};{64: 83.0};{76: {16.0: 2.0, 28.0: 81.0}};7;53
16.0;(40, 38, 24, 23, 22, 21, 25, 26);2.0;110.0;60.0;0.16;0.7000000000000002;{40: 2.0};{26: 2.0};{40: {16.0: 1.0, 56.0: 1.0}};8;54
16.0;(55, 53, 52, 51);93.0;41.0;55.0;0.182;0.6000000000000001;{55: 93.0};{51: 93.0};{55: {16.0: 1.0, 36.0: 92.0}};4;55
16.0;(22, 21, 25, 29);30.0;41.0;55.0;0.182;1.0;{22: 30.0};{29: 30.0};{22: {16.0: 1.0, 24.0: 29.0}};4;56
16.0;(1, 7, 8, 9, 19, 12);22.0;110.0;60.0;0.16;0.6000000000000001;{1: 22.0};{12: 22.0};{1: {16.0: 2.0, 24.0: 20.0}};6;57
16.0;(26, 25, 21, 9);117.0;41.0;55.0;0.182;0.7999999999999999;{26: 117.0};{9: 117.0};{26: {16.0: 2.0, 28.0: 115.0}};4;58
16.0;(33, 44, 43, 42, 38, 24, 23, 22, 9, 8, 7, 2, 3, 4, 5);114.0;110.0;60.0;0.16;0.7999999999999999;{33: 114.0};{5: 114.0};{33: {16.0: 2.0, 44.0: 112.0}};15;59
16.0;(12, 19, 9, 8);154.0;41.0;55.0;0.182;0.8000000000000003;{12: 154.0};{8: 154.0};{12: {16.0: 2.0, 32.0: 152.0}};4;60
16.0;(5, 4, 3, 2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 33);142.0;110.0;60.0;0.16;0.8999999999999999;{5: 142.0};{33: 142.0};{5: {16.0: 1.0, 36.0: 141.0}};15;61
16.0;(86, 73, 63, 62, 60, 47);11.0;41.0;55.0;0.182;0.8999999999999999;{86: 11.0};{47: 11.0};{86: {16.0: 1.0, 44.0: 10.0}};6;62
16.0;(22, 21, 25, 26, 27);69.0;41.0;55.0;0.182;0.8999999999999999;{22: 69.0};{27: 65.0, 26: 4.0};{22: {16.0: 5.0, 24.0: 64.0}};5;63
16.0;(64, 62, 63, 69, 70, 72, 76);99.0;110.0;60.0;0.16;1.0;{64: 99.0};{76: 99.0};{64: {16.0: 1.0, 36.0: 98.0}};7;64
16.0;(12, 20, 25, 26, 27);12.0;110.0;60.0;0.16;0.7;{12: 12.0};{27: 12.0};{12: {16.0: 1.0, 28.0: 11.0}};5;65
16.0;(46, 47, 60, 62, 63, 73, 86);35.0;41.0;55.0;0.182;1.0;{46: 35.0};{86: 33.0, 62: 2.0};{46: {16.0: 3.0, 40.0: 32.0}};7;66
16.0;(51, 54, 61, 67, 77, 76);15.0;110.0;60.0;0.16;0.9000000000000001;{51: 15.0};{76: 15.0};{51: {16.0: 1.0, 24.0: 14.0}};6;67
16.0;(26, 29, 30, 52, 54, 61, 66, 82);6.0;41.0;55.0;0.182;1.1;{26: 6.0};{82: 6.0};{26: {16.0: 1.0, 28.0: 5.0}};8;68
16.0;(58, 69, 63, 62, 64);110.0;41.0;55.0;0.182;1.1;{58: 110.0};{64: 110.0};{58: {16.0: 6.0, 48.0: 104.0}};5;69
16.0;(26, 25, 20, 12);67.0;41.0;55.0;0.182;1.0;{26: 67.0};{12: 67.0};{26: {16.0: 2.0, 24.0: 65.0}};4;70
16.0;(55, 57, 58, 70, 72, 76);21.0;41.0;55.0;0.182;1.0;{55: 21.0};{76: 21.0};{55: {16.0: 3.0, 24.0: 18.0}};6;71
16.0;(63, 69, 70, 72, 76);49.0;41.0;55.0;0.182;0.8999999999999999;{63: 49.0};{76: 49.0};{63: {16.0: 2.0, 24.0: 47.0}};5;72
20.0;(23, 22, 9, 8);3.0;110.0;60.0;0.16;0.8000000000000003;{23: 3.0};{8: 3.0};{23: {20.0: 1.0, 48.0: 2.0}};4;73
20.0;(12, 19, 22, 23, 24, 38, 40, 41, 60, 62, 63, 69, 70, 72, 76);6.0;110.0;60.0;0.16;1.0;{12: 6.0};{76: 6.0};{12: {20.0: 2.0, 32.0: 4.0}};15;74
20.0;(9, 21, 25, 26);137.0;110.0;60.0;0.16;1.0000000000000002;{9: 137.0};{26: 137.0};{9: {20.0: 10.0, 28.0: 127.0}};4;75
20.0;(27, 26, 25, 20, 12);19.0;41.0;55.0;0.182;1.1;{27: 19.0};{12: 19.0};{27: {20.0: 1.0, 44.0: 18.0}};5;76
20.0;(64, 62, 63, 69, 70, 72, 76);84.0;41.0;55.0;0.182;0.5;{64: 84.0};{76: 84.0};{64: {20.0: 8.0, 28.0: 76.0}};7;77
20.0;(76, 77, 67, 66, 82);12.0;41.0;55.0;0.182;0.8999999999999999;{76: 12.0};{82: 12.0};{76: {20.0: 2.0, 40.0: 10.0}};5;78
20.0;(86, 73, 69, 70, 72, 77, 67, 61, 54, 51);4.0;41.0;55.0;0.182;1.0;{86: 4.0};{51: 4.0};{86: {20.0: 1.0, 28.0: 3.0}};10;79
20.0;(76, 72, 70, 58, 57, 53, 30, 29, 26, 27);12.0;110.0;60.0;0.16;0.8999999999999999;{76: 12.0};{27: 8.0, 30: 4.0};{76: {20.0: 5.0, 40.0: 7.0}};10;80
20.0;(58, 69, 63, 62, 60, 41, 40, 38, 24, 23, 22, 19, 12);2.0;41.0;55.0;0.182;1.1;{58: 2.0};{12: 2.0};{58: {20.0: 1.0, 84.0: 1.0}};13;81
20.0;(12, 19, 9, 8, 7, 1);161.0;110.0;60.0;0.16;0.7000000000000002;{12: 161.0};{1: 161.0};{12: {20.0: 4.0, 28.0: 157.0}};6;82
20.0;(5, 4, 3, 2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 33, 32);171.0;110.0;60.0;0.16;1.0;{5: 171.0};{32: 157.0, 33: 14.0};{5: {20.0: 17.0, 28.0: 154.0}};16;83
20.0;(86, 73, 63, 62, 60, 41, 40, 42, 43);5.0;41.0;55.0;0.182;0.7999999999999999;{86: 5.0};{43: 5.0};{86: {20.0: 1.0, 64.0: 4.0}};9;84
20.0;(45, 44, 43, 42, 38, 24, 23, 22, 9, 8, 7, 2, 3, 4, 5, 6, 15);6.0;41.0;55.0;0.182;0.7999999999999999;{45: 6.0};{15: 6.0};{45: {20.0: 1.0, 52.0: 5.0}};17;85
20.0;(86, 73, 63, 62, 60, 47);9.0;41.0;55.0;0.182;0.7;{86: 9.0};{47: 9.0};{86: {20.0: 2.0, 52.0: 7.0}};6;86
20.0;(55, 57, 58, 70, 72, 76);59.0;110.0;60.0;0.16;1.0;{55: 59.0};{76: 59.0};{55: {20.0: 5.0, 28.0: 54.0}};6;87
20.0;(32, 33, 45, 46, 47, 60, 62, 63, 69, 70, 72, 76);6.0;110.0;60.0;0.16;0.7999999999999999;{32: 6.0};{76: 6.0};{32: {20.0: 1.0, 32.0: 5.0}};12;88
20.0;(30, 53, 57, 58, 70, 72, 76);16.0;110.0;60.0;0.16;1.0;{30: 16.0};{76: 16.0};{30: {20.0: 3.0, 28.0: 13.0}};7;89
20.0;(36, 38, 42, 43);13.0;110.0;60.0;0.16;1.0;{36: 13.0};{43: 13.0};{36: {20.0: 2.0, 32.0: 11.0}};4;90
20.0;(33, 44, 43, 42, 38, 24, 23, 22, 9, 8, 7, 2, 3, 4, 5, 6, 15);11.0;110.0;60.0;0.16;1.0;{33: 11.0};{15: 11.0};{33: {20.0: 1.0, 28.0: 10.0}};17;91
20.0;(82, 66, 67, 77, 76);17.0;110.0;60.0;0.16;0.7999999999999999;{82: 17.0};{76: 17.0};{82: {20.0: 1.0, 28.0: 16.0}};5;92
20.0;(1, 7, 8, 9, 19, 12);67.0;110.0;60.0;0.16;1.0000000000000002;{1: 67.0};{12: 67.0};{1: {20.0: 2.0, 32.0: 65.0}};6;93
20.0;(46, 47, 60, 62, 63, 69, 70, 72, 76);54.0;110.0;60.0;0.16;1.0;{46: 54.0};{76: 53.0, 62: 1.0};{46: {20.0: 3.0, 32.0: 51.0}};9;94
20.0;(76, 72, 70, 69, 63, 62, 64);76.0;41.0;55.0;0.182;1.0;{76: 76.0};{64: 76.0};{76: {20.0: 7.0, 36.0: 69.0}};7;95
20.0;(14, 6, 5, 4, 3, 2, 7);8.0;110.0;60.0;0.16;0.8999999999999999;{14: 8.0};{7: 8.0};{14: {20.0: 2.0, 72.0: 6.0}};7;96
20.0;(36, 38, 42, 43, 44, 33, 32);26.0;110.0;60.0;0.16;0.7999999999999999;{36: 26.0};{32: 25.0, 33: 1.0};{36: {20.0: 2.0, 28.0: 24.0}};7;97
20.0;(22, 21, 25, 29);71.0;110.0;60.0;0.16;0.7999999999999999;{22: 71.0};{29: 71.0};{22: {20.0: 15.0, 28.0: 56.0}};4;98
20.0;(11, 12, 20, 25, 26, 27);8.0;110.0;60.0;0.16;0.7999999999999999;{11: 8.0};{27: 8.0};{11: {20.0: 1.0, 32.0: 7.0}};6;99
20.0;(43, 42, 40, 41, 60, 62);4.0;41.0;55.0;0.182;0.6;{43: 4.0};{62: 4.0};{43: {20.0: 1.0, 44.0: 3.0}};6;100
20.0;(51, 54, 61, 67, 77, 76);34.0;110.0;60.0;0.16;1.0000000000000002;{51: 34.0};{76: 34.0};{51: {20.0: 1.0, 28.0: 33.0}};6;101
20.0;(27, 26, 25, 21, 9, 8, 7, 1);8.0;110.0;60.0;0.16;0.8000000000000003;{27: 8.0};{1: 7.0, 8: 1.0};{27: {20.0: 2.0, 32.0: 6.0}};8;102
20.0;(64, 62, 63, 69, 58);157.0;110.0;60.0;0.16;1.0;{64: 157.0};{58: 157.0};{64: {20.0: 13.0, 36.0: 144.0}};5;103
20.0;(9, 21, 25, 29);3.0;41.0;55.0;0.182;1.0;{9: 3.0};{29: 3.0};{9: {20.0: 1.0, 40.0: 2.0}};4;104
20.0;(14, 6, 5, 4, 3, 2, 7, 8, 9, 22, 23, 24, 38, 40, 41, 60, 62);6.0;41.0;55.0;0.182;0.8999999999999999;{14: 6.0};{62: 5.0, 3: 1.0};{14: {20.0: 2.0, 48.0: 4.0}};17;105
20.0;(64, 62, 63, 73, 86);36.0;110.0;60.0;0.16;0.7;{64: 36.0};{86: 36.0};{64: {20.0: 1.0, 28.0: 35.0}};5;106
20.0;(32, 33, 44, 43, 42, 38, 36);22.0;41.0;55.0;0.182;0.6;{32: 22.0};{36: 22.0};{32: {20.0: 3.0, 28.0: 19.0}};7;107
20.0;(64, 62, 63, 69, 70, 72, 77, 67, 61, 54, 51);2.0;41.0;55.0;0.182;1.0;{64: 2.0};{51: 2.0};{64: {20.0: 1.0, 32.0: 1.0}};11;108
20.0;(26, 25, 20, 12, 11);4.0;41.0;55.0;0.182;0.7;{26: 4.0};{11: 4.0};{26: {20.0: 1.0, 64.0: 3.0}};5;109
20.0;(2, 7, 8, 9, 22, 23, 24, 38, 40);2.0;110.0;60.0;0.16;0.6000000000000001;{2: 2.0};{40: 2.0};{2: {20.0: 1.0, 60.0: 1.0}};9;110
20.0;(86, 73, 69, 70, 72, 76);40.0;110.0;60.0;0.16;1.0;{86: 40.0};{76: 40.0};{86: {20.0: 2.0, 36.0: 38.0}};6;111
20.0;(58, 69, 63, 62, 60, 47, 46);5.0;41.0;55.0;0.182;1.0;{58: 5.0};{46: 5.0};{58: {20.0: 1.0, 56.0: 4.0}};7;112
20.0;(26, 25, 21, 22, 23);15.0;41.0;55.0;0.182;0.8999999999999999;{26: 15.0};{23: 3.0, 22: 12.0};{26: {20.0: 13.0, 36.0: 2.0}};5;113
20.0;(26, 29, 30, 52, 51);10.0;41.0;55.0;0.182;1.0;{26: 10.0};{51: 10.0};{26: {20.0: 2.0, 28.0: 8.0}};5;114
20.0;(15, 6, 5, 4, 3, 2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 45);11.0;110.0;60.0;0.16;0.8999999999999999;{15: 11.0};{45: 7.0, 43: 4.0};{15: {20.0: 5.0, 28.0: 6.0}};17;115
20.0;(86, 73, 69, 58, 57, 53, 30, 29, 26, 27);7.0;41.0;55.0;0.182;1.1;{86: 7.0};{27: 7.0};{86: {20.0: 1.0, 32.0: 6.0}};10;116
20.0;(12, 20, 25, 26, 27);21.0;41.0;55.0;0.182;1.0;{12: 21.0};{27: 21.0};{12: {20.0: 3.0, 32.0: 18.0}};5;117
20.0;(82, 66, 61, 54, 52, 53, 55);2.0;110.0;60.0;0.16;0.8999999999999999;{82: 2.0};{55: 2.0};{82: {20.0: 1.0, 64.0: 1.0}};7;118
20.0;(2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 33);7.0;110.0;60.0;0.16;0.5;{2: 7.0};{33: 4.0, 23: 3.0};{2: {20.0: 5.0, 28.0: 2.0}};12;119
20.0;(2, 7, 8, 9, 19, 12, 11);6.0;41.0;55.0;0.182;0.8999999999999999;{2: 6.0};{11: 6.0};{2: {20.0: 1.0, 32.0: 5.0}};7;120
20.0;(76, 72, 70, 69, 63, 62, 60, 41, 40, 38, 24, 23, 22, 9);61.0;110.0;60.0;0.16;0.7999999999999999;{76: 61.0};{9: 46.0, 63: 15.0};{76: {20.0: 16.0, 84.0: 45.0}};14;121
20.0;(40, 38, 24, 23, 22, 21, 25, 26);2.0;110.0;60.0;0.16;1.0000000000000002;{40: 2.0};{26: 2.0};{40: {20.0: 1.0, 68.0: 1.0}};8;122
