,start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
99,31.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",55.0,114.0,82.08,0.288,0.5,99
100,32.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",47.0,110.0,88.16,0.232,0.7,100
101,33.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",60.0,110.0,88.16,0.232,0.7,101
102,34.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",37.0,41.0,68.2,0.22,0.6,102
103,35.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",46.0,41.0,68.2,0.22,0.6,103
104,36.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",52.0,110.0,88.16,0.232,0.7,104
105,37.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",39.0,110.0,88.16,0.232,0.7,105
106,38.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",39.0,77.0,88.8,0.24,0.6,106
107,39.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",51.0,110.0,88.16,0.232,0.7,107
108,40.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",43.0,78.0,64.12,0.225,0.5,108
109,41.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",48.0,41.0,68.2,0.22,0.6,109
110,42.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",44.0,114.0,82.08,0.288,0.5,110
111,43.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",36.0,103.0,107.94,0.257,0.7,111
112,44.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",36.0,110.0,88.16,0.232,0.7,112
113,45.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",33.0,41.0,68.2,0.22,0.6,113
114,46.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",39.0,110.0,88.16,0.232,0.7,114
115,47.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",36.0,110.0,88.16,0.232,0.7,115
116,48.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",31.0,110.0,88.16,0.232,0.7,116
117,49.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",30.0,110.0,88.16,0.232,0.7,117
118,50.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",29.0,41.0,68.2,0.22,0.6,118
119,51.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",25.0,110.0,88.16,0.232,0.7,119
120,52.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",23.0,41.0,68.2,0.22,0.6,120
121,53.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",27.0,110.0,88.16,0.232,0.7,121
122,54.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",14.0,41.0,68.2,0.22,0.6,122
123,55.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",24.0,110.0,88.16,0.232,0.7,123
124,56.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",33.0,41.0,68.2,0.22,0.6,124
125,57.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",38.0,41.0,68.2,0.22,0.6,125
126,58.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",20.0,85.0,81.2,0.232,0.6,126
127,59.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",38.0,77.0,88.8,0.24,0.6,127
128,60.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",27.0,110.0,88.16,0.232,0.7,128
129,61.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",32.0,108.0,103.09,0.237,0.7,129
130,62.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",31.0,103.0,108.0,0.27,0.7,130
131,63.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",46.0,103.0,107.94,0.257,0.7,131
132,64.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",34.0,41.0,68.2,0.22,0.6,132
133,65.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",36.0,110.0,88.16,0.232,0.7,133
134,66.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",41.0,77.0,88.8,0.24,0.6,134
135,67.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",28.0,103.0,108.0,0.27,0.7,135
136,68.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",27.0,110.0,88.16,0.232,0.7,136
137,69.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",30.0,64.0,110.6,0.28,0.7,137
138,70.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",30.0,110.0,88.16,0.232,0.7,138
139,71.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",27.0,77.0,88.8,0.24,0.6,139
140,72.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",26.0,110.0,88.16,0.232,0.7,140
141,73.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",26.0,110.0,88.16,0.232,0.7,141
142,74.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",26.0,77.0,88.8,0.24,0.6,142
143,75.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",30.0,41.0,68.2,0.22,0.6,143
144,76.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",19.0,110.0,88.16,0.232,0.7,144
145,77.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",33.0,110.0,88.16,0.232,0.7,145
146,78.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",24.0,110.0,88.16,0.232,0.7,146
147,79.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",17.0,110.0,88.16,0.232,0.7,147
148,80.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",17.0,103.0,107.94,0.257,0.7,148
149,81.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",11.0,64.0,110.6,0.28,0.7,149
150,82.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",14.0,110.0,88.16,0.232,0.7,150
151,83.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",7.0,114.0,82.08,0.288,0.5,151
152,84.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",3.0,77.0,88.8,0.24,0.6,152
153,85.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",7.0,110.0,88.16,0.232,0.7,153
154,86.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",8.0,110.0,88.16,0.232,0.7,154
155,87.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",4.0,110.0,88.16,0.232,0.7,155
156,88.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",2.0,64.0,110.6,0.28,0.7,156
157,90.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",1.0,114.0,82.08,0.288,0.5,157
158,91.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",2.0,77.0,88.8,0.24,0.6,158
159,92.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",1.0,110.0,88.16,0.232,0.7,159
160,94.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",1.0,77.0,88.8,0.24,0.6,160
161,12.0,"(46, 47, 48, 49, 50, 51, 67, 66, 65, 64, 57, 58, 33, 32, 31, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2)",1.0,110.0,88.16,0.232,0.7,161
162,14.0,"(46, 47, 48, 49, 50, 51, 67, 66, 65, 64, 57, 58, 33, 32, 31, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2)",1.0,47.0,54.05,0.23,0.4,162
163,15.0,"(46, 47, 48, 49, 50, 51, 67, 66, 65, 64, 57, 58, 33, 32, 31, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2)",1.0,114.0,82.08,0.288,0.5,163
