,Zählt,Pendeltyp,Wohnort - NUTS Gliederung (Ebene +1),Arbeits- bzw. Schulort - NUTS Gliederung (Ebene +1),Jahr,Anzahl,Anmerkungen,Unnamed: 7
0,Personen,Erwerbspendler,Mittelburgenland <AT111>,Salzburg und Umgebung <AT323>,2019.0,25,,
9,Personen,Erwerbspendler,Mittelburgenland <AT111>,Pinzgau-Pongau <AT322>,2019.0,5,SW,
18,Personen,Erwerbspendler,Mittelburgenland <AT111>,Lungau <AT321>,2019.0,-,,
27,Personen,Erwerbspendler,Mittelburgenland <AT111>,Steyr-Kirchdorf <AT314>,2019.0,3,SW,
36,Personen,Erwerbspendler,Mittelburgenland <AT111>,Traunviertel <AT315>,2019.0,4,SW,
45,Personen,Erwerbspendler,Mittelburgenland <AT111>,Mühlviertel <AT313>,2019.0,5,SW,
54,Personen,Erwerbspendler,Mittelburgenland <AT111>,Linz-Wels <AT312>,2019.0,55,,
63,Personen,Erwerbspendler,Mittelburgenland <AT111>,Innviertel <AT311>,2019.0,3,SW,
72,Personen,Erwerbspendler,Mittelburgenland <AT111>,West- und Südsteiermark <AT225>,2019.0,11,,
81,Personen,Erwerbspendler,Mittelburgenland <AT111>,Oststeiermark <AT224>,2019.0,42,,
90,Personen,Erwerbspendler,Mittelburgenland <AT111>,Westliche Obersteiermark <AT226>,2019.0,7,,
99,Personen,Erwerbspendler,Mittelburgenland <AT111>,Östliche Obersteiermark <AT223>,2019.0,10,,
108,Personen,Erwerbspendler,Mittelburgenland <AT111>,Liezen <AT222>,2019.0,4,SW,
117,Personen,Erwerbspendler,Mittelburgenland <AT111>,Graz <AT221>,2019.0,66,,
126,Personen,Erwerbspendler,Mittelburgenland <AT111>,Unterkärnten <AT213>,2019.0,6,,
135,Personen,Erwerbspendler,Mittelburgenland <AT111>,Oberkärnten <AT212>,2019.0,4,SW,
144,Personen,Erwerbspendler,Mittelburgenland <AT111>,Klagenfurt-Villach <AT211>,2019.0,12,,
153,Personen,Erwerbspendler,Mittelburgenland <AT111>,Wiener Umland-Südteil <AT127>,2019.0,636,,
162,Personen,Erwerbspendler,Mittelburgenland <AT111>,Wien <AT130>,2019.0,3042,,
171,Personen,Erwerbspendler,Mittelburgenland <AT111>,Wiener Umland-Nordteil <AT126>,2019.0,50,,
180,Personen,Erwerbspendler,Mittelburgenland <AT111>,Weinviertel <AT125>,2019.0,4,SW,
189,Personen,Erwerbspendler,Mittelburgenland <AT111>,Waldviertel <AT124>,2019.0,7,,
198,Personen,Erwerbspendler,Mittelburgenland <AT111>,Sankt Pölten <AT123>,2019.0,33,,
207,Personen,Erwerbspendler,Mittelburgenland <AT111>,Niederösterreich-Süd <AT122>,2019.0,952,,
216,Personen,Erwerbspendler,Mittelburgenland <AT111>,Mostviertel-Eisenwurzen <AT121>,2019.0,18,,
225,Personen,Erwerbspendler,Mittelburgenland <AT111>,Nordburgenland <AT112>,2019.0,2257,,
234,Personen,Erwerbspendler,Mittelburgenland <AT111>,Südburgenland <AT113>,2019.0,502,,
243,Personen,Erwerbspendler,Mittelburgenland <AT111>,Mittelburgenland <AT111>,2019.0,9326,,
252,Personen,Erwerbspendler,Nordburgenland <AT112>,Salzburg und Umgebung <AT323>,2019.0,144,,
261,Personen,Erwerbspendler,Nordburgenland <AT112>,Pinzgau-Pongau <AT322>,2019.0,20,,
270,Personen,Erwerbspendler,Nordburgenland <AT112>,Lungau <AT321>,2019.0,2,SW,
279,Personen,Erwerbspendler,Nordburgenland <AT112>,Steyr-Kirchdorf <AT314>,2019.0,31,,
288,Personen,Erwerbspendler,Nordburgenland <AT112>,Traunviertel <AT315>,2019.0,47,,
297,Personen,Erwerbspendler,Nordburgenland <AT112>,Mühlviertel <AT313>,2019.0,26,,
306,Personen,Erwerbspendler,Nordburgenland <AT112>,Linz-Wels <AT312>,2019.0,305,,
315,Personen,Erwerbspendler,Nordburgenland <AT112>,Innviertel <AT311>,2019.0,41,,
324,Personen,Erwerbspendler,Nordburgenland <AT112>,West- und Südsteiermark <AT225>,2019.0,33,,
333,Personen,Erwerbspendler,Nordburgenland <AT112>,Oststeiermark <AT224>,2019.0,57,,
342,Personen,Erwerbspendler,Nordburgenland <AT112>,Westliche Obersteiermark <AT226>,2019.0,9,,
351,Personen,Erwerbspendler,Nordburgenland <AT112>,Östliche Obersteiermark <AT223>,2019.0,55,,
360,Personen,Erwerbspendler,Nordburgenland <AT112>,Liezen <AT222>,2019.0,14,,
369,Personen,Erwerbspendler,Nordburgenland <AT112>,Graz <AT221>,2019.0,193,,
378,Personen,Erwerbspendler,Nordburgenland <AT112>,Unterkärnten <AT213>,2019.0,25,,
387,Personen,Erwerbspendler,Nordburgenland <AT112>,Oberkärnten <AT212>,2019.0,12,,
396,Personen,Erwerbspendler,Nordburgenland <AT112>,Klagenfurt-Villach <AT211>,2019.0,30,,
405,Personen,Erwerbspendler,Nordburgenland <AT112>,Wiener Umland-Südteil <AT127>,2019.0,8453,,
414,Personen,Erwerbspendler,Nordburgenland <AT112>,Wien <AT130>,2019.0,16650,,
423,Personen,Erwerbspendler,Nordburgenland <AT112>,Wiener Umland-Nordteil <AT126>,2019.0,394,,
432,Personen,Erwerbspendler,Nordburgenland <AT112>,Weinviertel <AT125>,2019.0,38,,
441,Personen,Erwerbspendler,Nordburgenland <AT112>,Waldviertel <AT124>,2019.0,64,,
450,Personen,Erwerbspendler,Nordburgenland <AT112>,Sankt Pölten <AT123>,2019.0,236,,
459,Personen,Erwerbspendler,Nordburgenland <AT112>,Niederösterreich-Süd <AT122>,2019.0,4660,,
468,Personen,Erwerbspendler,Nordburgenland <AT112>,Mostviertel-Eisenwurzen <AT121>,2019.0,59,,
477,Personen,Erwerbspendler,Nordburgenland <AT112>,Nordburgenland <AT112>,2019.0,43738,,
486,Personen,Erwerbspendler,Nordburgenland <AT112>,Südburgenland <AT113>,2019.0,690,,
495,Personen,Erwerbspendler,Nordburgenland <AT112>,Mittelburgenland <AT111>,2019.0,638,,
504,Personen,Erwerbspendler,Südburgenland <AT113>,Salzburg und Umgebung <AT323>,2019.0,81,,
513,Personen,Erwerbspendler,Südburgenland <AT113>,Pinzgau-Pongau <AT322>,2019.0,19,,
522,Personen,Erwerbspendler,Südburgenland <AT113>,Lungau <AT321>,2019.0,4,SW,
531,Personen,Erwerbspendler,Südburgenland <AT113>,Steyr-Kirchdorf <AT314>,2019.0,11,,
540,Personen,Erwerbspendler,Südburgenland <AT113>,Traunviertel <AT315>,2019.0,280,,
549,Personen,Erwerbspendler,Südburgenland <AT113>,Mühlviertel <AT313>,2019.0,42,,
558,Personen,Erwerbspendler,Südburgenland <AT113>,Linz-Wels <AT312>,2019.0,234,,
567,Personen,Erwerbspendler,Südburgenland <AT113>,Innviertel <AT311>,2019.0,41,,
576,Personen,Erwerbspendler,Südburgenland <AT113>,West- und Südsteiermark <AT225>,2019.0,108,,
585,Personen,Erwerbspendler,Südburgenland <AT113>,Oststeiermark <AT224>,2019.0,5282,,
594,Personen,Erwerbspendler,Südburgenland <AT113>,Westliche Obersteiermark <AT226>,2019.0,18,,
603,Personen,Erwerbspendler,Südburgenland <AT113>,Östliche Obersteiermark <AT223>,2019.0,80,,
612,Personen,Erwerbspendler,Südburgenland <AT113>,Liezen <AT222>,2019.0,21,,
621,Personen,Erwerbspendler,Südburgenland <AT113>,Graz <AT221>,2019.0,1480,,
630,Personen,Erwerbspendler,Südburgenland <AT113>,Unterkärnten <AT213>,2019.0,23,,
639,Personen,Erwerbspendler,Südburgenland <AT113>,Oberkärnten <AT212>,2019.0,20,,
648,Personen,Erwerbspendler,Südburgenland <AT113>,Klagenfurt-Villach <AT211>,2019.0,25,,
657,Personen,Erwerbspendler,Südburgenland <AT113>,Wiener Umland-Südteil <AT127>,2019.0,886,,
666,Personen,Erwerbspendler,Südburgenland <AT113>,Wien <AT130>,2019.0,5458,,
675,Personen,Erwerbspendler,Südburgenland <AT113>,Wiener Umland-Nordteil <AT126>,2019.0,93,,
684,Personen,Erwerbspendler,Südburgenland <AT113>,Weinviertel <AT125>,2019.0,21,,
693,Personen,Erwerbspendler,Südburgenland <AT113>,Waldviertel <AT124>,2019.0,44,,
702,Personen,Erwerbspendler,Südburgenland <AT113>,Sankt Pölten <AT123>,2019.0,99,,
711,Personen,Erwerbspendler,Südburgenland <AT113>,Niederösterreich-Süd <AT122>,2019.0,610,,
720,Personen,Erwerbspendler,Südburgenland <AT113>,Mostviertel-Eisenwurzen <AT121>,2019.0,29,,
729,Personen,Erwerbspendler,Südburgenland <AT113>,Nordburgenland <AT112>,2019.0,1497,,
738,Personen,Erwerbspendler,Südburgenland <AT113>,Südburgenland <AT113>,2019.0,27404,,
747,Personen,Erwerbspendler,Südburgenland <AT113>,Mittelburgenland <AT111>,2019.0,660,,
756,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Salzburg und Umgebung <AT323>,2019.0,286,,
765,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Pinzgau-Pongau <AT322>,2019.0,35,,
774,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Lungau <AT321>,2019.0,3,SW,
783,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Steyr-Kirchdorf <AT314>,2019.0,5824,,
792,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Traunviertel <AT315>,2019.0,407,,
801,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Mühlviertel <AT313>,2019.0,1448,,
810,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Linz-Wels <AT312>,2019.0,8716,,
819,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Innviertel <AT311>,2019.0,163,,
828,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,West- und Südsteiermark <AT225>,2019.0,71,,
837,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Oststeiermark <AT224>,2019.0,37,,
846,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Westliche Obersteiermark <AT226>,2019.0,10,,
855,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Östliche Obersteiermark <AT223>,2019.0,58,,
864,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Liezen <AT222>,2019.0,82,,
873,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Graz <AT221>,2019.0,169,,
882,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Unterkärnten <AT213>,2019.0,16,,
891,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Oberkärnten <AT212>,2019.0,18,,
900,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Klagenfurt-Villach <AT211>,2019.0,45,,
909,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Wiener Umland-Südteil <AT127>,2019.0,1039,,
918,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Wien <AT130>,2019.0,5881,,
927,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Wiener Umland-Nordteil <AT126>,2019.0,957,,
936,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Weinviertel <AT125>,2019.0,111,,
945,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Waldviertel <AT124>,2019.0,1202,,
954,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Sankt Pölten <AT123>,2019.0,7519,,
963,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Niederösterreich-Süd <AT122>,2019.0,1142,,
972,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Mostviertel-Eisenwurzen <AT121>,2019.0,90781,,
981,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Nordburgenland <AT112>,2019.0,26,,
990,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Südburgenland <AT113>,2019.0,13,,
999,Personen,Erwerbspendler,Mostviertel-Eisenwurzen <AT121>,Mittelburgenland <AT111>,2019.0,7,,
1008,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Salzburg und Umgebung <AT323>,2019.0,206,,
1017,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Pinzgau-Pongau <AT322>,2019.0,33,,
1026,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Lungau <AT321>,2019.0,1,SW,
1035,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Steyr-Kirchdorf <AT314>,2019.0,46,,
1044,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Traunviertel <AT315>,2019.0,65,,
1053,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Mühlviertel <AT313>,2019.0,43,,
1062,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Linz-Wels <AT312>,2019.0,382,,
1071,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Innviertel <AT311>,2019.0,74,,
1080,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,West- und Südsteiermark <AT225>,2019.0,102,,
1089,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Oststeiermark <AT224>,2019.0,299,,
1098,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Westliche Obersteiermark <AT226>,2019.0,30,,
1107,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Östliche Obersteiermark <AT223>,2019.0,377,,
1116,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Liezen <AT222>,2019.0,17,,
1125,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Graz <AT221>,2019.0,356,,
1134,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Unterkärnten <AT213>,2019.0,48,,
1143,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Oberkärnten <AT212>,2019.0,24,,
1152,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Klagenfurt-Villach <AT211>,2019.0,49,,
1161,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Wiener Umland-Südteil <AT127>,2019.0,14127,,
1170,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Wien <AT130>,2019.0,18008,,
1179,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Wiener Umland-Nordteil <AT126>,2019.0,1014,,
1188,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Weinviertel <AT125>,2019.0,134,,
1197,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Waldviertel <AT124>,2019.0,653,,
1206,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Sankt Pölten <AT123>,2019.0,3384,,
1215,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Niederösterreich-Süd <AT122>,2019.0,79518,,
1224,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Mostviertel-Eisenwurzen <AT121>,2019.0,522,,
1233,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Nordburgenland <AT112>,2019.0,2397,,
1242,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Südburgenland <AT113>,2019.0,344,,
1251,Personen,Erwerbspendler,Niederösterreich-Süd <AT122>,Mittelburgenland <AT111>,2019.0,326,,
1260,Personen,Erwerbspendler,Sankt Pölten <AT123>,Salzburg und Umgebung <AT323>,2019.0,166,,
1269,Personen,Erwerbspendler,Sankt Pölten <AT123>,Pinzgau-Pongau <AT322>,2019.0,17,,
1278,Personen,Erwerbspendler,Sankt Pölten <AT123>,Lungau <AT321>,2019.0,1,SW,
1287,Personen,Erwerbspendler,Sankt Pölten <AT123>,Steyr-Kirchdorf <AT314>,2019.0,87,,
1296,Personen,Erwerbspendler,Sankt Pölten <AT123>,Traunviertel <AT315>,2019.0,67,,
1305,Personen,Erwerbspendler,Sankt Pölten <AT123>,Mühlviertel <AT313>,2019.0,41,,
1314,Personen,Erwerbspendler,Sankt Pölten <AT123>,Linz-Wels <AT312>,2019.0,523,,
1323,Personen,Erwerbspendler,Sankt Pölten <AT123>,Innviertel <AT311>,2019.0,55,,
1332,Personen,Erwerbspendler,Sankt Pölten <AT123>,West- und Südsteiermark <AT225>,2019.0,58,,
1341,Personen,Erwerbspendler,Sankt Pölten <AT123>,Oststeiermark <AT224>,2019.0,17,,
1350,Personen,Erwerbspendler,Sankt Pölten <AT123>,Westliche Obersteiermark <AT226>,2019.0,9,,
1359,Personen,Erwerbspendler,Sankt Pölten <AT123>,Östliche Obersteiermark <AT223>,2019.0,24,,
1368,Personen,Erwerbspendler,Sankt Pölten <AT123>,Liezen <AT222>,2019.0,13,,
1377,Personen,Erwerbspendler,Sankt Pölten <AT123>,Graz <AT221>,2019.0,161,,
1386,Personen,Erwerbspendler,Sankt Pölten <AT123>,Unterkärnten <AT213>,2019.0,16,,
1395,Personen,Erwerbspendler,Sankt Pölten <AT123>,Oberkärnten <AT212>,2019.0,16,,
1404,Personen,Erwerbspendler,Sankt Pölten <AT123>,Klagenfurt-Villach <AT211>,2019.0,33,,
1413,Personen,Erwerbspendler,Sankt Pölten <AT123>,Wiener Umland-Südteil <AT127>,2019.0,1516,,
1422,Personen,Erwerbspendler,Sankt Pölten <AT123>,Wien <AT130>,2019.0,10534,,
1431,Personen,Erwerbspendler,Sankt Pölten <AT123>,Wiener Umland-Nordteil <AT126>,2019.0,2769,,
1440,Personen,Erwerbspendler,Sankt Pölten <AT123>,Weinviertel <AT125>,2019.0,119,,
1449,Personen,Erwerbspendler,Sankt Pölten <AT123>,Waldviertel <AT124>,2019.0,2245,,
1458,Personen,Erwerbspendler,Sankt Pölten <AT123>,Sankt Pölten <AT123>,2019.0,52783,,
1467,Personen,Erwerbspendler,Sankt Pölten <AT123>,Niederösterreich-Süd <AT122>,2019.0,2203,,
1476,Personen,Erwerbspendler,Sankt Pölten <AT123>,Mostviertel-Eisenwurzen <AT121>,2019.0,2270,,
1485,Personen,Erwerbspendler,Sankt Pölten <AT123>,Nordburgenland <AT112>,2019.0,45,,
1494,Personen,Erwerbspendler,Sankt Pölten <AT123>,Südburgenland <AT113>,2019.0,6,,
1503,Personen,Erwerbspendler,Sankt Pölten <AT123>,Mittelburgenland <AT111>,2019.0,3,SW,
1512,Personen,Erwerbspendler,Waldviertel <AT124>,Salzburg und Umgebung <AT323>,2019.0,182,,
1521,Personen,Erwerbspendler,Waldviertel <AT124>,Pinzgau-Pongau <AT322>,2019.0,34,,
1530,Personen,Erwerbspendler,Waldviertel <AT124>,Lungau <AT321>,2019.0,-,,
1539,Personen,Erwerbspendler,Waldviertel <AT124>,Steyr-Kirchdorf <AT314>,2019.0,71,,
1548,Personen,Erwerbspendler,Waldviertel <AT124>,Traunviertel <AT315>,2019.0,85,,
1557,Personen,Erwerbspendler,Waldviertel <AT124>,Mühlviertel <AT313>,2019.0,555,,
1566,Personen,Erwerbspendler,Waldviertel <AT124>,Linz-Wels <AT312>,2019.0,1138,,
1575,Personen,Erwerbspendler,Waldviertel <AT124>,Innviertel <AT311>,2019.0,78,,
1584,Personen,Erwerbspendler,Waldviertel <AT124>,West- und Südsteiermark <AT225>,2019.0,24,,
1593,Personen,Erwerbspendler,Waldviertel <AT124>,Oststeiermark <AT224>,2019.0,26,,
1602,Personen,Erwerbspendler,Waldviertel <AT124>,Westliche Obersteiermark <AT226>,2019.0,5,SW,
1611,Personen,Erwerbspendler,Waldviertel <AT124>,Östliche Obersteiermark <AT223>,2019.0,19,,
1620,Personen,Erwerbspendler,Waldviertel <AT124>,Liezen <AT222>,2019.0,14,,
1629,Personen,Erwerbspendler,Waldviertel <AT124>,Graz <AT221>,2019.0,106,,
1638,Personen,Erwerbspendler,Waldviertel <AT124>,Unterkärnten <AT213>,2019.0,18,,
1647,Personen,Erwerbspendler,Waldviertel <AT124>,Oberkärnten <AT212>,2019.0,15,,
1656,Personen,Erwerbspendler,Waldviertel <AT124>,Klagenfurt-Villach <AT211>,2019.0,32,,
1665,Personen,Erwerbspendler,Waldviertel <AT124>,Wiener Umland-Südteil <AT127>,2019.0,1149,,
1674,Personen,Erwerbspendler,Waldviertel <AT124>,Wien <AT130>,2019.0,9468,,
1683,Personen,Erwerbspendler,Waldviertel <AT124>,Wiener Umland-Nordteil <AT126>,2019.0,2670,,
1692,Personen,Erwerbspendler,Waldviertel <AT124>,Weinviertel <AT125>,2019.0,1074,,
1701,Personen,Erwerbspendler,Waldviertel <AT124>,Waldviertel <AT124>,2019.0,81761,,
1710,Personen,Erwerbspendler,Waldviertel <AT124>,Sankt Pölten <AT123>,2019.0,5361,,
1719,Personen,Erwerbspendler,Waldviertel <AT124>,Niederösterreich-Süd <AT122>,2019.0,828,,
1728,Personen,Erwerbspendler,Waldviertel <AT124>,Mostviertel-Eisenwurzen <AT121>,2019.0,1401,,
1737,Personen,Erwerbspendler,Waldviertel <AT124>,Nordburgenland <AT112>,2019.0,43,,
1746,Personen,Erwerbspendler,Waldviertel <AT124>,Südburgenland <AT113>,2019.0,8,,
1755,Personen,Erwerbspendler,Waldviertel <AT124>,Mittelburgenland <AT111>,2019.0,2,SW,
1764,Personen,Erwerbspendler,Weinviertel <AT125>,Salzburg und Umgebung <AT323>,2019.0,90,,
1773,Personen,Erwerbspendler,Weinviertel <AT125>,Pinzgau-Pongau <AT322>,2019.0,11,,
1782,Personen,Erwerbspendler,Weinviertel <AT125>,Lungau <AT321>,2019.0,1,SW,
1791,Personen,Erwerbspendler,Weinviertel <AT125>,Steyr-Kirchdorf <AT314>,2019.0,28,,
1800,Personen,Erwerbspendler,Weinviertel <AT125>,Traunviertel <AT315>,2019.0,32,,
1809,Personen,Erwerbspendler,Weinviertel <AT125>,Mühlviertel <AT313>,2019.0,43,,
1818,Personen,Erwerbspendler,Weinviertel <AT125>,Linz-Wels <AT312>,2019.0,373,,
1827,Personen,Erwerbspendler,Weinviertel <AT125>,Innviertel <AT311>,2019.0,30,,
1836,Personen,Erwerbspendler,Weinviertel <AT125>,West- und Südsteiermark <AT225>,2019.0,20,,
1845,Personen,Erwerbspendler,Weinviertel <AT125>,Oststeiermark <AT224>,2019.0,23,,
1854,Personen,Erwerbspendler,Weinviertel <AT125>,Westliche Obersteiermark <AT226>,2019.0,6,,
1863,Personen,Erwerbspendler,Weinviertel <AT125>,Östliche Obersteiermark <AT223>,2019.0,11,,
1872,Personen,Erwerbspendler,Weinviertel <AT125>,Liezen <AT222>,2019.0,6,,
1881,Personen,Erwerbspendler,Weinviertel <AT125>,Graz <AT221>,2019.0,73,,
1890,Personen,Erwerbspendler,Weinviertel <AT125>,Unterkärnten <AT213>,2019.0,8,,
1899,Personen,Erwerbspendler,Weinviertel <AT125>,Oberkärnten <AT212>,2019.0,8,,
1908,Personen,Erwerbspendler,Weinviertel <AT125>,Klagenfurt-Villach <AT211>,2019.0,28,,
1917,Personen,Erwerbspendler,Weinviertel <AT125>,Wiener Umland-Südteil <AT127>,2019.0,1162,,
1926,Personen,Erwerbspendler,Weinviertel <AT125>,Wien <AT130>,2019.0,16470,,
1935,Personen,Erwerbspendler,Weinviertel <AT125>,Wiener Umland-Nordteil <AT126>,2019.0,7449,,
1944,Personen,Erwerbspendler,Weinviertel <AT125>,Weinviertel <AT125>,2019.0,30062,,
1953,Personen,Erwerbspendler,Weinviertel <AT125>,Waldviertel <AT124>,2019.0,1818,,
1962,Personen,Erwerbspendler,Weinviertel <AT125>,Sankt Pölten <AT123>,2019.0,774,,
1971,Personen,Erwerbspendler,Weinviertel <AT125>,Niederösterreich-Süd <AT122>,2019.0,424,,
1980,Personen,Erwerbspendler,Weinviertel <AT125>,Mostviertel-Eisenwurzen <AT121>,2019.0,198,,
1989,Personen,Erwerbspendler,Weinviertel <AT125>,Nordburgenland <AT112>,2019.0,44,,
1998,Personen,Erwerbspendler,Weinviertel <AT125>,Südburgenland <AT113>,2019.0,12,,
2007,Personen,Erwerbspendler,Weinviertel <AT125>,Mittelburgenland <AT111>,2019.0,6,,
2016,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Salzburg und Umgebung <AT323>,2019.0,283,,
2025,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Pinzgau-Pongau <AT322>,2019.0,35,,
2034,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Lungau <AT321>,2019.0,5,SW,
2043,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Steyr-Kirchdorf <AT314>,2019.0,66,,
2052,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Traunviertel <AT315>,2019.0,88,,
2061,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Mühlviertel <AT313>,2019.0,81,,
2070,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Linz-Wels <AT312>,2019.0,569,,
2079,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Innviertel <AT311>,2019.0,93,,
2088,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,West- und Südsteiermark <AT225>,2019.0,33,,
2097,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Oststeiermark <AT224>,2019.0,55,,
2106,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Westliche Obersteiermark <AT226>,2019.0,22,,
2115,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Östliche Obersteiermark <AT223>,2019.0,47,,
2124,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Liezen <AT222>,2019.0,27,,
2133,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Graz <AT221>,2019.0,225,,
2142,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Unterkärnten <AT213>,2019.0,41,,
2151,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Oberkärnten <AT212>,2019.0,42,,
2160,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Klagenfurt-Villach <AT211>,2019.0,88,,
2169,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Wiener Umland-Südteil <AT127>,2019.0,5007,,
2178,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Wien <AT130>,2019.0,75099,,
2187,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Wiener Umland-Nordteil <AT126>,2019.0,71336,,
2196,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Weinviertel <AT125>,2019.0,2461,,
2205,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Waldviertel <AT124>,2019.0,2491,,
2214,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Sankt Pölten <AT123>,2019.0,4153,,
2223,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Niederösterreich-Süd <AT122>,2019.0,1217,,
2232,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Mostviertel-Eisenwurzen <AT121>,2019.0,619,,
2241,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Nordburgenland <AT112>,2019.0,222,,
2250,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Südburgenland <AT113>,2019.0,44,,
2259,Personen,Erwerbspendler,Wiener Umland-Nordteil <AT126>,Mittelburgenland <AT111>,2019.0,13,,
2268,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Salzburg und Umgebung <AT323>,2019.0,314,,
2277,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Pinzgau-Pongau <AT322>,2019.0,48,,
2286,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Lungau <AT321>,2019.0,1,SW,
2295,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Steyr-Kirchdorf <AT314>,2019.0,48,,
2304,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Traunviertel <AT315>,2019.0,99,,
